url,path,index
https://www.roslindale.net/vacancies,roslindale-vacancies,vacancies.html
https://openai.com/our-structure,openai-structure,our-structure.html
https://www.supremecourt.gov/opinions/slipopinion/25,supremecourt-opinions,opinions/slipopinion/25.html
